affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
"Federal Reserve Banks - Federal Reserve Bank of New York and Bucharest University of Economic Studies, Department of Money and Banking",Federal Reserve Banks - Federal Reserve Bank of New York,"Bucharest University of Economic Studies, Department of Money and Banking",97,,,
Beijing University of Posts and Telecommunications and Hohai University,Beijing University of Posts and Telecommunications,Hohai University,97,,,
Jimma University (JU) - College of Business and Economics and Jimma University (JU) - College of Business and Economics,Jimma University (JU) - College of Business and Economics,Jimma University (JU) - College of Business and Economics,97,,,
National Research Institute (PIB) - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI) and Institute of Agricultural and Food Economics National Research Institute,National Research Institute (PIB) - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI),Institute of Agricultural and Food Economics National Research Institute,97,,,
"Louisiana State University and University of North Texas, Ryan College of Business, Department of Finance, Insurance, Real Estate and Law",Louisiana State University,"University of North Texas, Ryan College of Business, Department of Finance, Insurance, Real Estate and Law",97,,,
Gubkin Russian State University of Oil and Gas (National Research University) and SPIMEX,Gubkin Russian State University of Oil and Gas (National Research University),SPIMEX,97,,,
"International Food Policy Research Institute (IFPRI) and Michigan State University - Department of Agricultural, Food and Resource Economics",International Food Policy Research Institute (IFPRI),"Michigan State University - Department of Agricultural, Food and Resource Economics",97,,,
"University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning and University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning, Students",University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning,"University of North Carolina (UNC) at Chapel Hill - Department of City and Regional Planning, Students",97,,,
University of Chittagong - Department of Geography and Environmental Studies and University of Chittagong - Department of Geography and Environmental Studies,University of Chittagong - Department of Geography and Environmental Studies,University of Chittagong - Department of Geography and Environmental Studies,97,,,
East-West Center and Korea University - College of Economics and Commerce,East-West Center,Korea University - College of Economics and Commerce,97,,,
"Ph.D. Candidate of Public Law, Department of Public & International Law, College of Law and Political Science, Science and Research Branch, Islamic Azad University, Tehran, Iran and University of Tehran - Faculty of Law and Political Sciences","Ph.D. Candidate of Public Law, Department of Public & International Law, College of Law and Political Science, Science and Research Branch, Islamic Azad University, Tehran, Iran",University of Tehran - Faculty of Law and Political Sciences,97,,,
Blockchain Research Center Humboldt-Universität zu Berlin and Humboldt University of Berlin - Center for Applied Statistics and Economics (CASE),Blockchain Research Center Humboldt-Universität zu Berlin,Humboldt University of Berlin - Center for Applied Statistics and Economics (CASE),97,,,
Property and Casualty Insurance Compensation Corporation (PACICC) and C.D. Howe Institute,Property and Casualty Insurance Compensation Corporation (PACICC),C.D. Howe Institute,97,,,
Hellenic Association of Political Scientists and University of Piraeus - Faculty of International and European Studies,Hellenic Association of Political Scientists,University of Piraeus - Faculty of International and European Studies,97,,,
National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST) and Ministry of Health (DREES),National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST),Ministry of Health (DREES),97,,,
Centre for Information and Innovation Law (CIIR) and University of Southern Denmark - Department of Design and Communication,Centre for Information and Innovation Law (CIIR),University of Southern Denmark - Department of Design and Communication,97,,,
Research Institute for Labour and Social Affairs and Prague University of Economics and Business,Research Institute for Labour and Social Affairs,Prague University of Economics and Business,97,,,
Stanford University - Center for Primary Care and Outcomes Research and University of Illinois at Chicago,Stanford University - Center for Primary Care and Outcomes Research,University of Illinois at Chicago,97,,,
Northwestern University - Department of Managerial Economics and Decision Sciences (MEDS) and Universitat Pompeu Fabra and Barcelona GSE,Northwestern University - Department of Managerial Economics and Decision Sciences (MEDS),Universitat Pompeu Fabra and Barcelona GSE,97,,,
London School of Economics & Political Science (LSE) - Department of Economics and University of Naples Federico II - Department of Economics and Statistics,London School of Economics & Political Science (LSE) - Department of Economics,University of Naples Federico II - Department of Economics and Statistics,97,,,
"Department of Economics, Swedish University of Agricultural Sciences and KU Leuven - Subfaculty of Economics and Applied Economics","Department of Economics, Swedish University of Agricultural Sciences",KU Leuven - Subfaculty of Economics and Applied Economics,97,,,
University of Oxford - Said Business School and University of Oxford - Said Business School and St. Edmund Hall,University of Oxford - Said Business School,University of Oxford - Said Business School and St. Edmund Hall,97,,,
ZEW – Leibniz Centre for European Economic Research - Competition and Regulation Research Group and ZEW – Leibniz Centre for European Economic Research,ZEW – Leibniz Centre for European Economic Research - Competition and Regulation Research Group,ZEW – Leibniz Centre for European Economic Research,97,,,
Tilburg School of Economics and Management and Karlsruhe Institute of Technology,Tilburg School of Economics and Management,Karlsruhe Institute of Technology,97,,,
The New School - Department of Economics and Thapar School of Liberal Arts and Sciences,The New School - Department of Economics,Thapar School of Liberal Arts and Sciences,97,,,
"Global Academy of Training and Research (GATR) and Faculty of Economics, Thammasat University, Bangkok 10200, Thailand",Global Academy of Training and Research (GATR),"Faculty of Economics, Thammasat University, Bangkok 10200, Thailand",97,,,
"Queensland University of Technology - Faculty of Law and University of New England - School of Behavioural, Cognitive and Social Sciences",Queensland University of Technology - Faculty of Law,"University of New England - School of Behavioural, Cognitive and Social Sciences",97,,,
Bank for International Settlements (BIS) - Committee on Payments and Market Infrastructures and McGill University,Bank for International Settlements (BIS) - Committee on Payments and Market Infrastructures,McGill University,97,,,
"Terry College of Business, the University of Georgia and University of Wisconsin-Madison - Department of Operations and Information Management","Terry College of Business, the University of Georgia",University of Wisconsin-Madison - Department of Operations and Information Management,97,,,
Norwegian University of Life Sciences (NMBU) - School of Economics and Business and University of Stavanger,Norwegian University of Life Sciences (NMBU) - School of Economics and Business,University of Stavanger,97,,,
European University Institute - Robert Schuman Centre for Advanced Studies (RSCAS) and University of Antwerp - Institute of Development Policy and Management,European University Institute - Robert Schuman Centre for Advanced Studies (RSCAS),University of Antwerp - Institute of Development Policy and Management,97,,,
European University Institute - Robert Schuman Centre for Advanced Studies (RSCAS) and University of Antwerp - Institute of Development Policy and Management,European University Institute - Robert Schuman Centre for Advanced Studies (RSCAS),University of Antwerp - Institute of Development Policy and Management,97,,,
"SCHOOL OF COMMERCE AND MANAGEMENT, IIMT University, school of commerce and management and Dewan Institute of Management Studies","SCHOOL OF COMMERCE AND MANAGEMENT, IIMT University, school of commerce and management",Dewan Institute of Management Studies,97,,,
"University of Wollongong - Faculty of Law, Humanities and the Arts (LHA) and University of Wollongong, Faculty of Law, Humanities and the Arts (LHA), School of Humanities and Social Inquiry, Students","University of Wollongong - Faculty of Law, Humanities and the Arts (LHA)","University of Wollongong, Faculty of Law, Humanities and the Arts (LHA), School of Humanities and Social Inquiry, Students",97,,,
"SEB LU / University of Ljubljana - School of Economics and Business and ROC, d. o. o.",SEB LU / University of Ljubljana - School of Economics and Business,"ROC, d. o. o.",97,,,
International Monetary Fund (IMF) and European Central Bank (ECB) - Directorate Financial Stability and Supervision,International Monetary Fund (IMF),European Central Bank (ECB) - Directorate Financial Stability and Supervision,97,,,
World Bank - Poverty Reduction and Economic Management Department and World Bank - Europe and Central Asia Region,World Bank - Poverty Reduction and Economic Management Department,World Bank - Europe and Central Asia Region,97,,,
World Bank Middle East and North Africa Region and Princeton University - Princeton School of Public and International Affairs,World Bank Middle East and North Africa Region,Princeton University - Princeton School of Public and International Affairs,97,,,
"Social Security Administration, Office of Research Evaluation and Statistics and Government of the United States of America, Social Security Administration, Office of Retirement Policy","Social Security Administration, Office of Research Evaluation and Statistics","Government of the United States of America, Social Security Administration, Office of Retirement Policy",97,,,
King's College London and King&rsquos College London - Faculty of Social Science and Public Policy,King's College London,King&rsquos College London - Faculty of Social Science and Public Policy,97,,,
International University of La Rioja (UNIR) and Universidad de Valladolid - Department of Finance and Accounting,International University of La Rioja (UNIR),Universidad de Valladolid - Department of Finance and Accounting,97,,,
Kennesaw State University - Michael J. Coles College of Business and Oakland University - Department of Accounting and Finance,Kennesaw State University - Michael J. Coles College of Business,Oakland University - Department of Accounting and Finance,97,,,
Massachusetts Institute of Technology (MIT) - Institute for Work and Employment Research (IWER) and The University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology (MIT) - Institute for Work and Employment Research (IWER),The University of Illinois at Urbana-Champaign,97,,,
"University of Amsterdam, Department of Economics and University of Leicester - Department of Economics, Finance and Accounting","University of Amsterdam, Department of Economics","University of Leicester - Department of Economics, Finance and Accounting",97,,,
University of Auckland Business School and Victoria University of Wellington - School of Accounting and Commercial Law,University of Auckland Business School,Victoria University of Wellington - School of Accounting and Commercial Law,97,,,
"Centre for Economic Policy Research (CEPR), Bocconi University and Bocconi University - Department of Social and Political Sciences","Centre for Economic Policy Research (CEPR), Bocconi University",Bocconi University - Department of Social and Political Sciences,97,,,
Georgetown University and Princeton University - Woodrow Wilson School of Public and International Affairs,Georgetown University,Princeton University - Woodrow Wilson School of Public and International Affairs,97,,,
National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST) and McGill University,National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST),McGill University,97,,,
"Temple University, Fox School of Business and Management, Department of Finance and AIRESS & FGSES, Université Mohammed VI Polytechnique","Temple University, Fox School of Business and Management, Department of Finance","AIRESS & FGSES, Université Mohammed VI Polytechnique",97,,,
SAARC Chamber of Commerce and Industry and SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,97,,,
University of Mannheim - Center for Doctoral Studies in Economics and Management (CDSEM) and University of Mannheim - Center for Doctoral Studies in Economics and Management (CDSEM),University of Mannheim - Center for Doctoral Studies in Economics and Management (CDSEM),University of Mannheim - Center for Doctoral Studies in Economics and Management (CDSEM),97,,,
SAARC Chamber of Commerce and Industry and SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,SAARC Chamber of Commerce and Industry,97,,,
ZEW – Leibniz Centre for European Economic Research - Competition and Regulation Research Group and Vienna University of Economics and Business,ZEW – Leibniz Centre for European Economic Research - Competition and Regulation Research Group,Vienna University of Economics and Business,97,,,
"University of Bari ""Aldo Moro"" - Department of Economics, Management and Business Law and University of Padua - Department of Economics and Management","University of Bari ""Aldo Moro"" - Department of Economics, Management and Business Law",University of Padua - Department of Economics and Management,97,,,
Westphalian University of Applied Sciences - Institute for Work and Technology and Institute for Work and Technology,Westphalian University of Applied Sciences - Institute for Work and Technology,Institute for Work and Technology,97,,,
World Bank - Social Proteciton and Jobs Global Practice and London Business School,World Bank - Social Proteciton and Jobs Global Practice,London Business School,97,,,
Australian National University (ANU) and Australian National University (ANU) - College of Asia and the Pacific,Australian National University (ANU),Australian National University (ANU) - College of Asia and the Pacific,97,,,
"Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE) and VU University Amsterdam - Department of Finance and Financial Sector Management, Tinbergen Institute",Erasmus University Rotterdam (EUR) - Erasmus School of Economics (ESE),"VU University Amsterdam - Department of Finance and Financial Sector Management, Tinbergen Institute",97,,,
Brunel University London - Department of Economics and Finance and University of Navarra - Department of Economics,Brunel University London - Department of Economics and Finance,University of Navarra - Department of Economics,97,,,
Keio University - Faculty of Economics and Durham University - Department of Economics and Finance,Keio University - Faculty of Economics,Durham University - Department of Economics and Finance,97,,,
Brunel University London - Department of Economics and Finance and University of Navarra - Department of Economics,Brunel University London - Department of Economics and Finance,University of Navarra - Department of Economics,97,,,
"London School of Economics & Political Science (LSE) - Department of Finance and ShanghaiTech University, School of Entrepreneurship and Management",London School of Economics & Political Science (LSE) - Department of Finance,"ShanghaiTech University, School of Entrepreneurship and Management",97,,,
Brunel University London - Department of Economics and Finance and University of Navarra - Department of Economics,Brunel University London - Department of Economics and Finance,University of Navarra - Department of Economics,97,,,
Brunel University London - Department of Economics and Finance and University of Navarra - Department of Economics,Brunel University London - Department of Economics and Finance,University of Navarra - Department of Economics,97,,,
Emory University - Goizueta Business School and University of Washington - Department of Finance and Business Economics,Emory University - Goizueta Business School,University of Washington - Department of Finance and Business Economics,97,,,
London School of Economics - Law School and University of Copenhagen - Institute of Food and Resource Economics,London School of Economics - Law School,University of Copenhagen - Institute of Food and Resource Economics,97,,,
"ISEG Lisbon School of Economics and Management,Universidade de Lisboa and REM - Research in Economics and Mathematics","ISEG Lisbon School of Economics and Management,Universidade de Lisboa",REM - Research in Economics and Mathematics,97,,,
"Russian Academy of Sciences (RAS) and Primakov Research Institute of World Economy and International Relations, RAS",Russian Academy of Sciences (RAS),"Primakov Research Institute of World Economy and International Relations, RAS",97,,,
"University of International Business and Economics (UIBE) - University of International Business and Economics (UIBE), School of International Trade and Economics, Students and Tsinghua University - Institute of Economics","University of International Business and Economics (UIBE) - University of International Business and Economics (UIBE), School of International Trade and Economics, Students",Tsinghua University - Institute of Economics,97,,,
Queen's University Belfast and Victoria University of Wellington - School of Accounting and Commercial Law,Queen's University Belfast,Victoria University of Wellington - School of Accounting and Commercial Law,97,,,
"University Grenoble Alpes, Center for Studies and Applied Research in Management (CERAG) and University Grenoble Alpes - Center for Studies and Applied Research in Management (CERAG)","University Grenoble Alpes, Center for Studies and Applied Research in Management (CERAG)",University Grenoble Alpes - Center for Studies and Applied Research in Management (CERAG),97,,,
"Free University of Bolzano-Bozen, Faculty of Economics and Management and University of Malaga","Free University of Bolzano-Bozen, Faculty of Economics and Management",University of Malaga,97,,,
"American University in Bulgaria - Business and Economics Department, American University in the Emirates and Higher School of Insurance and Finance","American University in Bulgaria - Business and Economics Department, American University in the Emirates",Higher School of Insurance and Finance,97,,,
Leibniz  Universität Hannover - Faculty of Economics and Management and Polish Academy of Sciences (PAS) - Institute of Economics (INE PAN),Leibniz  Universität Hannover - Faculty of Economics and Management,Polish Academy of Sciences (PAS) - Institute of Economics (INE PAN),97,,,
Salisbury University - Department of Economics and Finance and Rhodes College,Salisbury University - Department of Economics and Finance,Rhodes College,97,,,
Tokyo University of Marine Science and Technology and Kyushu University,Tokyo University of Marine Science and Technology,Kyushu University,97,,,
Fujian Agriculture and Forestry University and Zhongnan University of Economics and Law,Fujian Agriculture and Forestry University,Zhongnan University of Economics and Law,97,,,
Bangladesh University of Professionals and Bangladesh University of Professionals (BUP) - Centre for Higher Studies and Research,Bangladesh University of Professionals,Bangladesh University of Professionals (BUP) - Centre for Higher Studies and Research,97,,,
International Islamic University of Malaysia (IIUM) and International Islamic University of Malaysia (IIUM) - Kulliyah of Economics and Management Sciences,International Islamic University of Malaysia (IIUM),International Islamic University of Malaysia (IIUM) - Kulliyah of Economics and Management Sciences,97,,,
"Bocconi University - Department of Finance and Department of Economic and Statistical Sciences, Univesity of Naples Federico II",Bocconi University - Department of Finance,"Department of Economic and Statistical Sciences, Univesity of Naples Federico II",97,,,
Harvard University - Department of Sociology and Harvard University - Center for Population and Development Studies,Harvard University - Department of Sociology,Harvard University - Center for Population and Development Studies,97,,,
Vrije Universiteit Amsterdam and Maastricht University - Department of Accounting and Information Management,Vrije Universiteit Amsterdam,Maastricht University - Department of Accounting and Information Management,97,,,
RANEPA - Institute for Social Analysis and Prediction and RANEPA - Institute for Social Analysis and Prediction,RANEPA - Institute for Social Analysis and Prediction,RANEPA - Institute for Social Analysis and Prediction,97,,,
"Global Academy of Training and Research (GATR) and Department of Industrial Engineering, Marsda Adisucipto Street No 1, 55281, Yogyakarta, Indonesia",Global Academy of Training and Research (GATR),"Department of Industrial Engineering, Marsda Adisucipto Street No 1, 55281, Yogyakarta, Indonesia",97,,,
University of Roehampton  and Wageningen University and Research,University of Roehampton,Wageningen University and Research,97,,,
National Institute of Rural Development and Panchayati Raj and CMR University,National Institute of Rural Development and Panchayati Raj,CMR University,97,,,
"Salisbury University and University of Minnesota - St. Paul, School of Social Work, Center for Restorative Justice and Peacemaking",Salisbury University,"University of Minnesota - St. Paul, School of Social Work, Center for Restorative Justice and Peacemaking",97,,,
"Rice University - Jesse H. Jones Graduate School of Business and University of Wollongong - School of Management, Operations and Marketing",Rice University - Jesse H. Jones Graduate School of Business,"University of Wollongong - School of Management, Operations and Marketing",97,,,
Maastricht University - Research Centre for Education and the Labour Market (ROA) and University of Düsseldorf - Düsseldorf Institute for Competition Economics (DICE),Maastricht University - Research Centre for Education and the Labour Market (ROA),University of Düsseldorf - Düsseldorf Institute for Competition Economics (DICE),97,,,
"University of Missouri at Saint Louis - Department of Criminology & Criminal Justice and Delft University of Technology - OTB Research Institute for Housing, Urban and Mobility Studies, University of St. Andrews",University of Missouri at Saint Louis - Department of Criminology & Criminal Justice,"Delft University of Technology - OTB Research Institute for Housing, Urban and Mobility Studies, University of St. Andrews",97,,,
PPGECIM - Doctoral Program in Science and Mathematics and PPGECIM/ULBRA - Lutheran University of Brazil,PPGECIM - Doctoral Program in Science and Mathematics,PPGECIM/ULBRA - Lutheran University of Brazil,97,,,
University of Tokyo - Graduate School of Information Science and Technology and Osaka Metropolitan University,University of Tokyo - Graduate School of Information Science and Technology,Osaka Metropolitan University,97,,,
Dickinson College - Department of International Business and Management and Brandeis University,Dickinson College - Department of International Business and Management,Brandeis University,97,,,
University of Technology Sydney (UTS) and The University of Technology Sydney - School of Mathematical and Physical Sciences,University of Technology Sydney (UTS),The University of Technology Sydney - School of Mathematical and Physical Sciences,97,,,
University of Pavia - Department of Economics and Management and University of Milano-Bicocca,University of Pavia - Department of Economics and Management,University of Milano-Bicocca,97,,,
North Carolina Agricultural and Technical State University and California State University - Los Angeles,North Carolina Agricultural and Technical State University,California State University - Los Angeles,97,,,
"Cornell University, Dyson School of Applied Economics and Management, Students and Cornell University - Charles H. Dyson School of Applied Economics and Management","Cornell University, Dyson School of Applied Economics and Management, Students",Cornell University - Charles H. Dyson School of Applied Economics and Management,97,,,
University of Southampton - Faculty of Engineering and the Environment and Imperial College London - Department of Civil and Environmental Engineering,University of Southampton - Faculty of Engineering and the Environment,Imperial College London - Department of Civil and Environmental Engineering,97,,,
"Ifo Institute, University of Passau - Business Administration and Economics and University of Passau","Ifo Institute, University of Passau - Business Administration and Economics",University of Passau,97,,,
"Ifo Institute, University of Passau - Business Administration and Economics and University of Passau","Ifo Institute, University of Passau - Business Administration and Economics",University of Passau,97,,,
"University of California, Berkeley and Northwestern University - School of Education and Social Policy","University of California, Berkeley",Northwestern University - School of Education and Social Policy,97,,,
University of Guelph - Department of Agricultural Economics and Business and University of Nairobi - Institute for Development Studies,University of Guelph - Department of Agricultural Economics and Business,University of Nairobi - Institute for Development Studies,97,,,
"University of Indonesia - Center of Islamic Economics and Business, Faculty of Economics and Business (PEBS-FEUI) and University of Indonesia (UI) - Faculty of Economics and Business","University of Indonesia - Center of Islamic Economics and Business, Faculty of Economics and Business (PEBS-FEUI)",University of Indonesia (UI) - Faculty of Economics and Business,97,,,
"Federal Reserve Bank of Kansas City and Board of Governors of the Federal Reserve System, Bank for International Settlements (BIS) - Committee on Payments and Market Infrastructures",Federal Reserve Bank of Kansas City,"Board of Governors of the Federal Reserve System, Bank for International Settlements (BIS) - Committee on Payments and Market Infrastructures",97,,,
"Tumkur University - Tumkur University, Department of Studies and Research in Commerce, Students and Tumkur University - Department of Studies and Research in Commerce","Tumkur University - Tumkur University, Department of Studies and Research in Commerce, Students",Tumkur University - Department of Studies and Research in Commerce,97,,,
"Research and Development Center, Bharathiar University, Coimbatore and Director, National Institute of Fashion Technology, Kerala","Research and Development Center, Bharathiar University, Coimbatore","Director, National Institute of Fashion Technology, Kerala",97,,,
"Christ (Deemed to be University) and Research Guide, and Asst. Professor, Department of Commerce, Christ (Deemed to be University), Bengaluru, Karnataka, India",Christ (Deemed to be University) and Research Guide,"Asst. Professor, Department of Commerce, Christ (Deemed to be University), Bengaluru, Karnataka, India",97,,,
"New York University (NYU) - Department of Information, Operations, and Management Sciences and New York University (NYU) - Leonard N. Stern School of Business","New York University (NYU) - Department of Information, Operations, and Management Sciences",New York University (NYU) - Leonard N. Stern School of Business,97,,,
"New York University (NYU) - Department of Information, Operations, and Management Sciences and New York University (NYU) - Leonard N. Stern School of Business","New York University (NYU) - Department of Information, Operations, and Management Sciences",New York University (NYU) - Leonard N. Stern School of Business,97,,,
"Korea Advanced Institute of Science and Technology (KAIST) - Financial Engineering and College of Business, Korea Advanced Institute of Science and Technology (KAIST)",Korea Advanced Institute of Science and Technology (KAIST) - Financial Engineering,"College of Business, Korea Advanced Institute of Science and Technology (KAIST)",97,,,
Erasmus University Rotterdam (EUR) - Department of Technology and Operations Management and University College London - School of Management,Erasmus University Rotterdam (EUR) - Department of Technology and Operations Management,University College London - School of Management,97,,,
Sam Houston State University - Department of General Business and Finance and James Madison University - College of Business,Sam Houston State University - Department of General Business and Finance,James Madison University - College of Business,97,,,
Wright State University -Information Systems and Supply Chain Management Department and Mason School of Business,Wright State University -Information Systems and Supply Chain Management Department,Mason School of Business,97,,,
"University of Reading - School of Sociology, Politics and International Relations and University of Reading","University of Reading - School of Sociology, Politics and International Relations",University of Reading,97,,,
National Institute of Rural Development and Panchayati Raj and CMR University,National Institute of Rural Development and Panchayati Raj,CMR University,97,,,
"University of Hamburg and School of Business Administration and Economics, University of Osnabrueck",University of Hamburg,"School of Business Administration and Economics, University of Osnabrueck",97,,,
NHH Norwegian School of Economics - Department of Business and Management Science and Center for International Climate and Environmental Research (CICERO),NHH Norwegian School of Economics - Department of Business and Management Science,Center for International Climate and Environmental Research (CICERO),97,,,
Jawaharlal Nehru University - Centre for International Trade and Development and Jawaharlal Nehru University,Jawaharlal Nehru University - Centre for International Trade and Development,Jawaharlal Nehru University,97,,,
American International University-Bangladesh and Bangladesh University of Professionals (BUP) - Centre for Higher Studies and Research,American International University-Bangladesh,Bangladesh University of Professionals (BUP) - Centre for Higher Studies and Research,97,,,
NHH Norwegian School of Economics - Department of Finance and University of Liverpool - Accounting and Finance Division,NHH Norwegian School of Economics - Department of Finance,University of Liverpool - Accounting and Finance Division,97,,,
State Energy & Environmental Impact Center at NYU School of Law and Harvard University - Labor and Worklife Program,State Energy & Environmental Impact Center at NYU School of Law,Harvard University - Labor and Worklife Program,97,,,
"National Assembly of Nigeria (NASS) - National Institute for Legislative and Democratic Studies (NILDS) and Durham University - Department of Economics and Finance, National Institute for Legislative and Democratic Studies",National Assembly of Nigeria (NASS) - National Institute for Legislative and Democratic Studies (NILDS),"Durham University - Department of Economics and Finance, National Institute for Legislative and Democratic Studies",97,,,
Avinashilingam Institute for Home Science and Higher Education for Women and Avinashilingam Institute for Home Science and Higher Education for Women,Avinashilingam Institute for Home Science and Higher Education for Women,Avinashilingam Institute for Home Science and Higher Education for Women,97,,,
Central University of Finance and Economics (CUFE) - Chinese Academy of Finance and Development and City University of Hong Kong (CityU) - Department of Economics & Finance,Central University of Finance and Economics (CUFE) - Chinese Academy of Finance and Development,City University of Hong Kong (CityU) - Department of Economics & Finance,97,,,
Russian Academy of Sciences (RAS) - Institute of Philosophy and Law of Siberian Branch of Russian Academy of Sciences and Russian Academy of Sciences (RAS) - Ural Branch,Russian Academy of Sciences (RAS) - Institute of Philosophy and Law of Siberian Branch of Russian Academy of Sciences,Russian Academy of Sciences (RAS) - Ural Branch,97,,,
Princeton University - School of Public and International Affairs and Princeton University,Princeton University - School of Public and International Affairs,Princeton University,97,,,
"Prairie View A&M University - College of Business and School of Analytics, Finance, and Economics",Prairie View A&M University - College of Business,"School of Analytics, Finance, and Economics",97,,,
"University of Southern Denmark - Department of Environmental and Business Economics and Universität Hamburg, Faculty of Business, Economics and Social Sciences",University of Southern Denmark - Department of Environmental and Business Economics,"Universität Hamburg, Faculty of Business, Economics and Social Sciences",97,,,
Norwegian University of Science and Technology (NTNU) - NTNU Business School and Norwegian University of Science and Technology (NTNU) - Department of Industrial Economics and Technology,Norwegian University of Science and Technology (NTNU) - NTNU Business School,Norwegian University of Science and Technology (NTNU) - Department of Industrial Economics and Technology,97,,,
"Paderborn University and University of Paderborn - Faculty of Business Administration and Economics - Department of Taxation, Accounting & Finance",Paderborn University,"University of Paderborn - Faculty of Business Administration and Economics - Department of Taxation, Accounting & Finance",97,,,
"University of Southern Queensland - Faculty of Business and University of Southern Queensland - Faculty of Business, Education, Law and Arts",University of Southern Queensland - Faculty of Business,"University of Southern Queensland - Faculty of Business, Education, Law and Arts",97,,,
University of Cologne - Department of Econometrics and Statistics and University of Cologne,University of Cologne - Department of Econometrics and Statistics,University of Cologne,97,,,
University of Quebec at Montreal (UQAM) and University of Liège - Research Center on Public and Population Economics,University of Quebec at Montreal (UQAM),University of Liège - Research Center on Public and Population Economics,97,,,
"New York University and University of Illinois at Urbana-Champaign, Department of Agricultural and Consumer Economics",New York University,"University of Illinois at Urbana-Champaign, Department of Agricultural and Consumer Economics",97,,,
"Imperial College London and Imperial College London - Accounting, Finance, and Macroeconomics",Imperial College London,"Imperial College London - Accounting, Finance, and Macroeconomics",97,,,
"Zicklin School of Business, Baruch College - The City University of New York and Deakin University - Department of Finance (Property and Real Estate)","Zicklin School of Business, Baruch College - The City University of New York",Deakin University - Department of Finance (Property and Real Estate),97,,,
"Imperial College London and Imperial College London - Accounting, Finance, and Macroeconomics",Imperial College London,"Imperial College London - Accounting, Finance, and Macroeconomics",97,,,
"Jawaharlal Nehru University, Centre for International Trade and Development, Students and Jawaharlal Nehru University - Centre for International Trade and Development","Jawaharlal Nehru University, Centre for International Trade and Development, Students",Jawaharlal Nehru University - Centre for International Trade and Development,97,,,
"Department of Decisions, Operations and Technology, CUHK Business School, The Chinese University of Hong Kong and Georgia Institute of Technology","Department of Decisions, Operations and Technology, CUHK Business School, The Chinese University of Hong Kong",Georgia Institute of Technology,97,,,
"Imperial College London and Imperial College London - Accounting, Finance, and Macroeconomics",Imperial College London,"Imperial College London - Accounting, Finance, and Macroeconomics",97,,,
University of Science and Technology Beijing - Donlinks School of Economics and Management and Comilla University,University of Science and Technology Beijing - Donlinks School of Economics and Management,Comilla University,97,,,
University of East Anglia (UEA) and University of East Anglia (UEA) - School of Economic and Social Studies,University of East Anglia (UEA),University of East Anglia (UEA) - School of Economic and Social Studies,97,,,
"Ruhr University of Bochum - Department of Finance and Banking and Helmut-Schmidt-Universität, Fakultät für Wirtschafts- und Sozialwissenschaften",Ruhr University of Bochum - Department of Finance and Banking,"Helmut-Schmidt-Universität, Fakultät für Wirtschafts- und Sozialwissenschaften",97,,,
CHRIST (Deemed to be University) - School of Business and Management and CHRIST (Deemed to be University) - School of Business and Management,CHRIST (Deemed to be University) - School of Business and Management,CHRIST (Deemed to be University) - School of Business and Management,97,,,
Eastern Macedonia and Thrace Institute of Technology - Department of Business Administration and Eastern Macedonia and Thrace Institute of Technology - Department of Business Administration,Eastern Macedonia and Thrace Institute of Technology - Department of Business Administration and Eastern Macedonia,Thrace Institute of Technology - Department of Business Administration,97,,,
"Wachemo University, College of Computational and Natural Sciences and Wachemo University, College of Agricultural Sciences","Wachemo University, College of Computational and Natural Sciences","Wachemo University, College of Agricultural Sciences",97,,,
Institute of Agricultural Development in Central and Eastern Europe (IAMO) and Institute of Agricultural Development in Central and Eastern Europe (IAMO),Institute of Agricultural Development in Central and Eastern Europe (IAMO),Institute of Agricultural Development in Central and Eastern Europe (IAMO),97,,,
Durham University - Department of Economics and Finance and University of Surrey,Durham University - Department of Economics and Finance,University of Surrey,97,,,
College of Business Education (CBE) - Department of ICT and Mathematics and University of Cape Town (UCT),College of Business Education (CBE) - Department of ICT and Mathematics,University of Cape Town (UCT),97,,,
Tumkur University - Department of Studies and Research in Commerce and Government First Grade College,Tumkur University - Department of Studies and Research in Commerce,Government First Grade College,97,,,
University of Guelph and Government of Canada - Fisheries and Oceans Canada,University of Guelph,Government of Canada - Fisheries and Oceans Canada,97,,,
Botswana University of Agriculture and Natural Resources and Botswana University of Agriculture and Natural Resources,Botswana University of Agriculture and Natural Resources,Botswana University of Agriculture and Natural Resources,97,,,
